"Accession","Title","Technology","Taxonomy","Data.Rows","Samples.Count","Series.Count","Contact","Release.Date"
"GPL28286","NanoString nCounter Human miRGE Expression Assay Custom CodeSet [WHEL]","other","Homo sapiens",164,1253,1,"Loki Natarajan","Mar 27, 2020"
"GPL28311","DanielBaughInstitute-BioMark145","RT-PCR","Rattus norvegicus",145,72,1,"Mary Staehle","Mar 27, 2020"
"GPL28312","Thermo Fisher Scientific  TaqMan","RT-PCR","Homo sapiens",32,348,3,"Hemmo Drexhage","Mar 27, 2020"
"GPL28315","Illumina HiSeq 2500 (Rana omeimontis)","high-throughput sequencing","Rana omeimontis",0,0,0,"GEO","Mar 27, 2020"
"GPL28316","Illumina MiSeq (Campyloabcter jejuni)","high-throughput sequencing","Campyloabcter jejuni",0,0,0,"GEO","Mar 27, 2020"
"GPL28318","HiSeq X Ten (Streptomyces bingchenggensis)","high-throughput sequencing","Streptomyces bingchenggensis",0,0,0,"GEO","Mar 27, 2020"
"GPL28306","Illumina MiSeq (Triticum aestivum L.)","high-throughput sequencing","TriticumÂ aestivumÂ L.",0,0,0,"GEO","Mar 26, 2020"
"GPL28307","Illumina MiSeq (unidentified soil bacteria)","high-throughput sequencing","unidentified soil bacteria",0,0,0,"GEO","Mar 26, 2020"
"GPL28308","Illumina MiSeq (Triticum aestivum)","high-throughput sequencing","TriticumÂ aestivum",0,0,0,"GEO","Mar 26, 2020"
"GPL28309","Illumina MiSeq (TTriticum aestivum subsp. aestivum)","high-throughput sequencing","TTriticum aestivum subsp. aestivum",0,0,0,"GEO","Mar 26, 2020"
"GPL28310","BGISEQ-500 (Pseudomonas savastanoi pv. phaseolicola 1448A)","high-throughput sequencing","Pseudomonas savastanoi pv. phaseolicola 1448A",0,0,0,"GEO","Mar 26, 2020"
"GPL28313","Illumina HiSeq 2500 (Pyrus pyrifolia)","high-throughput sequencing","Pyrus pyrifolia",0,2,1,"GEO","Mar 26, 2020"
"GPL28314","Illumina HiSeq 2500 (Escherichia coli str. K-12 substr. W3110)","high-throughput sequencing","Escherichia coli str. K-12 substr. W3110",0,0,0,"GEO","Mar 26, 2020"
"GPL28301","RiboBio RiboArrayTM lncDETECTTM Human Array 1×40K (A10301-1-40)","in situ oligonucleotide","Homo sapiens",0,2,1,"Yu Yu","Mar 25, 2020"
